Circuit_ID,Driver_ID,Team_ID,Position,Starting Grid,Laps,Time/Retired,Points,Fastest Lap,Year,Total Time/Gap/Retirement,+1 Pt,Set Fastest Lap,Fastest Lap Time
4,17,10,14,22.0,53,+1 lap,0,1:43.067,2014,,,,
4,21,5,15,6.0,53,+1 lap,0,1:42.379,2014,,,,
4,13,8,16,17.0,53,+1 lap,0,1:42.257,2014,,,,
4,15,9,17,19.0,53,+1 lap,0,1:44.825,2014,,,,
4,22,11,18,18.0,53,+1 lap,0,1:43.323,2014,,,,
4,14,9,19,21.0,52,+2 laps,0,1:42.875,2014,,,,
4,18,11,20,20.0,52,+2 laps,0,1:43.620,2014,,,,
4,16,10,NC,10.0,28,DNF,0,1:44.366,2014,,,,
4,12,8,NC,14.0,5,DNF,0,1:58.376,2014,,,,
5,20,1,1,1.0,66,1:41:05.155,25,1:29.483,2014,,,,
5,1,1,2,2.0,66,+0.636,18,1:29.236,2014,,,,
5,2,2,3,3.0,66,+49.014,15,1:30.012,2014,,,,
5,19,2,4,15.0,66,+76.702,12,1:28.918,2014,,,,
5,6,5,5,4.0,66,+79.293,10,1:30.424,2014,,,,
5,5,4,6,7.0,66,+87.743,8,1:29.898,2014,,,,
5,8,4,7,6.0,65,+1 lap,6,1:30.580,2014,,,,
5,16,10,8,5.0,65,+1 lap,4,1:31.068,2014,,,,
5,11,6,9,11.0,65,+1 lap,2,1:30.756,2014,,,,
5,7,6,10,10.0,65,+1 lap,1,1:31.411,2014,,,,
5,4,3,11,8.0,65,+1 lap,0,1:30.563,2014,,,,
5,3,3,12,14.0,65,+1 lap,0,1:30.318,2014,,,,
5,21,5,13,9.0,65,+1 lap,0,1:30.468,2014,,,,
5,10,7,14,12.0,65,+1 lap,0,1:30.269,2014,,,,
5,17,10,15,22.0,65,+1 lap,0,1:31.235,2014,,,,
5,13,8,16,13.0,65,+1 lap,0,1:30.666,2014,,,,
5,12,8,17,16.0,65,+1 lap,0,1:31.473,2014,,,,
5,15,9,18,18.0,64,+2 laps,0,1:31.784,2014,,,,
5,14,9,19,17.0,64,+2 laps,0,1:31.767,2014,,,,
5,18,11,20,19.0,64,+2 laps,0,1:33.350,2014,,,,
5,22,11,NC,20.0,34,DNF,0,1:33.064,2014,,,,
5,9,7,NC,21.0,24,DNF,0,1:31.781,2014,,,,
6,1,1,1,1.0,78,1:49:27.661,25,1:19.425,2014,,,,
6,20,1,2,2.0,78,+9.210,18,1:19.361,2014,,,,
6,2,2,3,3.0,78,+9.614,15,1:19.252,2014,,,,
6,5,4,4,5.0,78,+32.452,12,1:19.727,2014,,,,
6,7,6,5,11.0,77,+1 lap,10,1:20.767,2014,,,,
6,4,3,6,12.0,77,+1 lap,8,1:21.047,2014,,,,
6,21,5,7,16.0,77,+1 lap,6,1:20.314,2014,,,,
6,16,10,8,14.0,77,+1 lap,4,1:20.979,2014,,,,
6,15,9,9,21.0,77,+1 lap,2,1:21.254,2014,,,,
6,3,3,10,8.0,77,+1 lap,1,1:20.657,2014,,,,
6,18,11,11,22.0,77,+1 lap,0,1:20.911,2014,,,,
6,8,4,12,6.0,77,+1 lap,0,1:18.479,2014,,,,
6,22,11,13,20.0,75,+3 laps,0,1:22.425,2014,,,,
6,14,9,14,19.0,75,+3 laps,0,1:20.579,2014,,,,
6,13,8,NC,17.0,59,DNF,0,1:21.146,2014,,,,
6,6,5,NC,13.0,55,DNF,0,1:21.105,2014,,,,
6,9,7,NC,7.0,50,DNF,0,1:21.083,2014,,,,
6,12,8,NC,18.0,23,DNF,0,1:21.761,2014,,,,
6,10,7,NC,9.0,10,DNF,0,1:22.011,2014,,,,
6,19,2,NC,4.0,5,DNF,0,1:59.505,2014,,,,
6,11,6,NC,10.0,0,DNF,0,,2014,,,,
6,17,10,NC,15.0,0,DNS,0,,2014,,,,
7,2,2,1,6.0,70,1:39:12:830,25,1:18.640,2014,,,,
7,1,1,2,1.0,70,+4.236,18,1:18.819,2014,,,,
7,19,2,3,3.0,70,+5.247,15,1:19.171,2014,,,,
7,4,3,4,9.0,70,+11.755,12,1:18.759,2014,,,,
7,7,6,5,11.0,70,+12.843,10,1:18.936,2014,,,,
7,5,4,6,7.0,70,+14.869,8,1:18.614,2014,,,,
7,6,5,7,4.0,70,+23.578,6,1:19.321,2014,,,,
7,9,7,8,8.0,70,+28.026,4,1:19.399,2014,,,,
7,3,3,9,12.0,70,+29.254,2,1:18.819,2014,,,,
7,8,4,10,10.0,70,+53.678,1,1:18.529,2014,,,,
7,11,6,11,13.0,69,DNF,0,1:19.491,2014,,,,
7,21,5,12,5.0,69,DNF,0,1:18.504,2014,,,,
7,12,8,13,16.0,69,+1 lap,0,1:20.226,2014,,,,
7,13,8,14,22.0,64,DNF,0,1:20.112,2014,,,,
7,16,10,NC,14.0,59,DNF,0,1:19.650,2014,,,,
7,10,7,NC,15.0,47,DNF,0,1:19.978,2014,,,,
7,20,1,NC,2.0,46,DNF,0,1:18.942,2014,,,,
7,22,11,NC,21.0,23,DNF,0,1:23.130,2014,,,,
7,17,10,NC,17.0,21,DNF,0,1:21.514,2014,,,,
7,18,11,NC,20.0,7,DNF,0,1:51.041,2014,,,,
7,14,9,NC,18.0,0,DNF,0,,2014,,,,
7,15,9,NC,19.0,0,DNF,0,,2014,,,,
8,1,1,1,3.0,71,1:27:54.976,25,1:12.598,2014,,,,
8,20,1,2,9.0,71,+1.932,18,1:12.217,2014,,,,
8,6,5,3,2.0,71,+8.172,15,1:12.581,2014,,,,
8,21,5,4,1.0,71,+17.358,12,1:12.586,2014,,,,
8,5,4,5,4.0,71,+18.553,10,1:12.595,2014,,,,
8,11,6,6,15.0,71,+28.546,8,1:12.142,2014,,,,
8,3,3,7,6.0,71,+32.031,6,1:12.746,2014,,,,
8,2,2,8,5.0,71,+43.522,4,1:13.060,2014,,,,
8,7,6,9,10.0,71,+44.137,2,1:13.156,2014,,,,
8,8,4,10,8.0,71,+47.777,1,1:12.884,2014,,,,
8,4,3,11,11.0,71,+50.966,0,1:12.858,2014,,,,
8,17,10,12,13.0,70,+1 lap,0,1:13.187,2014,,,,
8,12,8,13,16.0,70,+1 lap,0,1:13.709,2014,,,,
8,16,10,14,22.0,70,+1 lap,0,1:13.953,2014,,,,
8,15,9,15,18.0,69,+2 laps,0,1:14.476,2014,,,,
8,22,11,16,19.0,69,+2 laps,0,1:15.274,2014,,,,
8,14,9,17,21.0,69,+2 laps,0,1:14.847,2014,,,,
8,18,11,18,20.0,69,+2 laps,0,1:14.672,2014,,,,
8,13,8,19,17.0,69,+2 laps,0,1:14.036,2014,,,,
8,9,7,NC,14.0,59,DNF,0,1:13.317,2014,,,,
8,19,2,NC,12.0,34,DNF,0,1:14.254,2014,,,,
8,10,7,NC,7.0,24,DNF,0,1:14.332,2014,,,,
9,20,1,1,6.0,52,2:26:52.094,25,1:37.176,2014,,,,
9,6,5,2,14.0,52,+30.135,18,1:38.264,2014,,,,
9,2,2,3,8.0,52,+46.495,15,1:38.459,2014,,,,
9,4,3,4,3.0,52,+47.390,12,1:38.284,2014,,,,
9,19,2,5,2.0,52,+53.864,10,1:37.481,2014,,,,
9,5,4,6,16.0,52,+459.946,8,1:38.587,2014,,,,
9,3,3,7,5.0,52,+62.563,6,1:38.677,2014,,,,
9,7,6,8,4.0,52,+88.692,4,1:38.625,2014,,,,
